race_id,race_date,track,distance_m,start_type,track_condition,race_class,program_number,horse_id,driver_id,trainer_id,post_position,carried_weight_kg,prior_finishes,prior_km_times,prior_earnings,prior_opponent_strengths,days_since_last_start,gallop_risk,speed_rating,class_rating,stamina_rating,equipment_change,shoeing_change,market_share,finished_position,did_not_finish
R0001,2023-01-01,T4,3100,volt,normal,C,1,H0112,D014,TR066,1,62.6,,,,,,0.2246074801272063,75.86,76.7,79.89,False,False,0.006379762825592262,12,False
R0001,2023-01-01,T3,3100,volt,normal,C,2,H0099,D056,TR008,2,63.5,,,,,,0.007336443520658471,76.08,73.18,76.83,False,False,0.023496897902645458,10,False
R0001,2023-01-01,T4,3100,volt,normal,B,3,H0021,D024,TR004,3,65.6,,,,,,0.030597030849482176,76.96,77.95,76.42,False,False,0.017075298573049694,6,False
R0001,2023-01-01,T2,3100,volt,normal,C,4,H0006,D016,TR032,4,66.6,,,,,,0.056711926929657895,81.02,81.78,78.92,False,False,0.062013410749416194,1,False
R0001,2023-01-01,T4,3100,volt,normal,A,5,H0019,D002,TR073,5,67.6,,,,,,0.05142678408852572,80.61,80.79,80.63,False,False,0.034821613718359644,7,False
R0001,2023-01-01,T3,3100,volt,normal,A,6,H0079,D000,TR055,6,65.5,,,,,,0.019065303539560496,77.2,76.69,77.57,False,False,0.01454600192348616,4,False
R0001,2023-01-01,T1,3100,volt,normal,C,7,H0094,D022,TR007,7,62.7,,,,,,0.02121972647264986,70.9,72.57,74.39,False,True,0.0014177969031634221,8,False
R0001,2023-01-01,T4,3100,volt,normal,A,8,H0059,D055,TR066,8,62.9,,,,,,0.055848600178837846,84.58,84.22,85.12,False,False,0.19602268666068656,3,False
R0001,2023-01-01,T1,3100,volt,normal,C,9,H0067,D031,TR067,9,67.1,,,,,,0.020002347327874453,78.78,79.51,78.05,False,False,0.011271724272495178,11,False
R0001,2023-01-01,T1,3100,volt,normal,B,10,H0048,D053,TR064,10,65.8,,,,,,0.021094589491563245,83.04,84.02,85.3,False,False,0.10610049992264062,2,False
R0001,2023-01-01,T3,3100,volt,normal,A,11,H0046,D006,TR072,11,62.3,,,,,,0.030219198268680723,83.82,82.64,82.5,False,False,0.48531213749123314,5,False
R0001,2023-01-01,T3,3100,volt,normal,C,12,H0093,D005,TR019,12,62.9,,,,,,0.1669523222369982,79.27,80.98,80.26,False,False,0.04154216905723156,9,False
R0002,2023-01-01,T2,2100,volt,normal,A,1,H0014,D028,TR046,1,63.0,,,,,,0.11318188932137263,83.67,81.87,83.98,False,False,0.4952016904931044,1,False
R0002,2023-01-01,T4,2100,volt,normal,C,2,H0093,D028,TR052,2,64.6,9,83.34282216945135,200.0,-0.3093465397202384,0.0,0.17259113872909748,80.05,77.76,80.64,False,False,0.05591566997324653,7,False
R0002,2023-01-01,T3,2100,volt,normal,B,3,H0073,D008,TR049,3,62.5,,,,,,0.056815872016061676,82.69,81.03,83.05,False,False,0.0610078532175776,4,False
R0002,2023-01-01,T2,2100,volt,normal,B,4,H0071,D013,TR025,4,66.6,,,,,,0.19624879578953772,73.3,73.41,74.13,False,False,0.007947064976706567,3,False
R0002,2023-01-01,T3,2100,volt,normal,B,5,H0035,D005,TR019,5,63.1,,,,,,0.09555233915374532,86.19,85.31,82.34,True,False,0.15343151414438289,2,False
R0002,2023-01-01,T1,2100,volt,normal,C,6,H0031,D034,TR062,6,65.8,,,,,,0.0036893652404323095,78.33,75.28,76.64,False,False,0.010402779330604768,11,False
R0002,2023-01-01,T1,2100,volt,normal,A,7,H0108,D021,TR027,7,66.4,,,,,,0.008037681205211238,82.98,84.08,86.09,False,False,0.03239435261529085,5,False
R0002,2023-01-01,T1,2100,volt,normal,A,8,H0013,D033,TR043,8,62.2,,,,,,0.022023821116297537,83.86,85.69,83.64,False,False,0.045332225483465376,10,False
R0002,2023-01-01,T3,2100,volt,normal,C,9,H0015,D035,TR015,9,67.5,,,,,,0.12014329323306501,74.67,76.42,74.43,False,False,0.020122580746582002,9,False
R0002,2023-01-01,T3,2100,volt,normal,C,10,H0050,D042,TR034,10,66.8,,,,,,0.039785118421553786,81.48,81.62,80.23,True,False,0.06470045091396585,6,False
